Player,Count,Percent
BKG Mendis,73,11.717495987158909
P Nissanka,73,11.717495987158909
KIC Asalanka,71,11.396468699839486
MD Shanaka,43,6.902086677367576
PW Hasaranga,42,6.741573033707865
S Samarawickrama,42,6.741573033707865
DM de Silva,39,6.260032102728732
M Theekshana,32,5.136436597110754
WIA Fernando,31,4.975922953451043
J Liyanage,25,4.012841091492777
PVD Chameera,24,3.852327447833066
C Karunaratne,23,3.691813804173355
DN Wellalage,23,3.691813804173355
PHKD Mendis,23,3.691813804173355
FDM Karunaratne,18,2.889245585874799
CAK Rajitha,15,2.407704654895666
MDKJ Perera,14,2.247191011235955
CBRLS Kumara,12,1.926163723916533
