,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_state[0],1.679,0.28,1.148,2.198,0.008,0.005,1187.0,1644.0,1.0
alpha_state[1],3.297,0.22,2.906,3.71,0.009,0.004,560.0,1171.0,1.0
alpha_state[2],3.904,0.203,3.51,4.268,0.006,0.004,1271.0,1822.0,1.0
beta[0],-0.151,0.051,-0.249,-0.057,0.001,0.001,3288.0,2116.0,1.0
beta[1],0.095,0.107,-0.092,0.311,0.002,0.002,2724.0,2248.0,1.0
beta[2],-0.194,0.112,-0.401,0.018,0.002,0.002,2264.0,2244.0,1.0
beta[3],-0.045,0.05,-0.14,0.05,0.001,0.001,4162.0,2225.0,1.0
beta[4],0.07,0.055,-0.033,0.172,0.001,0.001,1494.0,2159.0,1.0
init_state[0],0.205,0.101,0.032,0.398,0.002,0.002,2197.0,1651.0,1.0
init_state[1],0.639,0.135,0.392,0.89,0.004,0.003,1416.0,1728.0,1.0
init_state[2],0.156,0.104,0.003,0.339,0.004,0.003,1035.0,1391.0,1.0
nu,21.635,8.474,8.281,37.985,0.145,0.173,3224.0,1989.0,1.0
sigma_state[0],1.069,0.138,0.812,1.325,0.004,0.002,1310.0,1859.0,1.0
sigma_state[1],0.769,0.153,0.48,1.056,0.004,0.003,1540.0,1331.0,1.0
sigma_state[2],0.627,0.147,0.356,0.915,0.007,0.006,576.0,490.0,1.0
"trans[0, 0]",0.523,0.096,0.358,0.716,0.003,0.002,1181.0,1534.0,1.0
"trans[0, 1]",0.206,0.155,0.002,0.505,0.008,0.005,490.0,1207.0,1.0
"trans[0, 2]",0.271,0.136,0.0,0.46,0.006,0.004,542.0,534.0,1.0
"trans[1, 0]",0.225,0.131,0.024,0.48,0.006,0.004,600.0,738.0,1.0
"trans[1, 1]",0.579,0.122,0.359,0.805,0.003,0.002,1547.0,2391.0,1.0
"trans[1, 2]",0.195,0.127,0.003,0.41,0.004,0.002,679.0,1348.0,1.0
"trans[2, 0]",0.407,0.145,0.073,0.637,0.009,0.007,377.0,388.0,1.0
"trans[2, 1]",0.164,0.107,0.008,0.359,0.003,0.003,1467.0,1693.0,1.0
"trans[2, 2]",0.429,0.12,0.222,0.673,0.006,0.005,468.0,428.0,1.0
"transition_matrix[0, 0]",0.523,0.096,0.358,0.716,0.003,0.002,1181.0,1534.0,1.0
"transition_matrix[0, 1]",0.206,0.155,0.002,0.505,0.008,0.005,490.0,1207.0,1.0
"transition_matrix[0, 2]",0.271,0.136,0.0,0.46,0.006,0.004,542.0,534.0,1.0
"transition_matrix[1, 0]",0.225,0.131,0.024,0.48,0.006,0.004,600.0,738.0,1.0
"transition_matrix[1, 1]",0.579,0.122,0.359,0.805,0.003,0.002,1547.0,2391.0,1.0
"transition_matrix[1, 2]",0.195,0.127,0.003,0.41,0.004,0.002,679.0,1348.0,1.0
"transition_matrix[2, 0]",0.407,0.145,0.073,0.637,0.009,0.007,377.0,388.0,1.0
"transition_matrix[2, 1]",0.164,0.107,0.008,0.359,0.003,0.003,1467.0,1693.0,1.0
"transition_matrix[2, 2]",0.429,0.12,0.222,0.673,0.006,0.005,468.0,428.0,1.0
